time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
0.000,8,37,0,38,47.53,25.00,28.00,1,a3
0.000,44,2,0,3,39.68,22.00,25.00,0,a3
1.000,8,2,0,3,44.99,25.00,28.00,1,a3
1.000,31,1,0,2,43.74,22.00,25.00,0,a3
2.000,47,38,0,39,31.63,22.00,25.00,1,a3
3.000,8,37,0,38,45.93,25.00,28.00,1,a3
3.000,47,38,0,39,31.62,22.00,25.00,0,a3
4.000,31,37,0,38,44.74,22.00,25.00,0,a3
5.000,31,37,0,38,45.50,25.00,28.00,1,a3
5.000,47,38,0,39,39.14,22.00,25.00,0,a3
7.000,31,37,0,38,46.73,25.00,28.00,1,a3
8.000,8,2,0,3,41.75,25.00,28.00,0,a3
8.000,33,37,0,38,46.60,25.00,28.00,1,a3
9.000,8,2,0,3,48.10,22.00,25.00,0,a3
10.000,8,2,0,3,45.11,22.00,25.00,0,a3
10.000,31,1,0,2,41.77,25.00,28.00,1,a3
11.000,8,2,0,3,45.75,22.00,25.00,1,a3
11.000,33,37,0,38,50.42,25.00,28.00,0,a3
13.000,31,37,0,38,43.02,25.00,28.00,1,a3
15.000,8,37,0,38,44.15,22.00,25.00,0,a3
16.000,31,37,0,38,45.49,25.00,28.00,1,a3
17.000,31,1,0,2,46.17,25.00,28.00,1,a3
17.000,33,37,0,38,53.19,25.00,28.00,1,a3
17.000,35,2,0,3,43.81,22.00,25.00,0,a3
19.000,8,37,0,38,40.78,22.00,25.00,1,a3
20.000,8,37,0,38,45.06,22.00,25.00,0,a3
21.000,8,37,0,38,45.23,22.00,25.00,0,a3
22.000,8,37,0,38,41.79,22.00,25.00,0,a3
23.000,31,1,0,2,50.03,25.00,28.00,1,a3
25.000,33,1,0,2,54.15,25.00,28.00,1,a3
26.000,8,37,0,38,41.50,22.00,25.00,0,a3
28.000,8,37,0,38,41.25,22.00,25.00,0,a3
28.000,44,2,0,3,37.41,22.00,25.00,0,a3
29.000,8,37,0,38,44.52,22.00,25.00,1,a3
30.000,8,2,0,3,42.83,22.00,25.00,0,a3
30.000,31,37,0,38,49.24,25.00,28.00,1,a3
31.000,8,2,0,3,41.05,22.00,25.00,0,a3
32.000,8,2,0,3,33.22,22.00,25.00,0,a3
32.000,31,1,0,2,52.16,25.00,28.00,1,a3
35.000,44,2,0,3,32.21,22.00,25.00,0,a3
35.000,47,38,0,39,25.58,18.00,21.00,0,a3
36.000,44,2,0,3,35.30,22.00,25.00,0,a3
37.000,33,37,0,38,51.95,25.00,28.00,1,a3
38.000,8,2,0,3,45.48,22.00,25.00,1,a3
38.000,31,1,0,2,52.37,25.00,28.00,1,a3
40.000,16,1,0,2,38.78,22.00,25.00,1,a3
40.000,31,37,0,38,50.15,25.00,28.00,1,a3
41.000,31,1,0,2,54.33,25.00,28.00,1,a3
42.000,44,2,0,3,35.02,22.00,25.00,0,a3
44.000,31,37,0,38,44.02,25.00,28.00,1,a3
47.000,8,2,0,3,32.81,22.00,25.00,1,a3
48.000,31,1,0,2,50.02,25.00,28.00,1,a3
48.000,44,2,0,3,39.14,22.00,25.00,1,a3
49.000,44,37,0,38,43.71,22.00,25.00,0,a3
52.000,44,37,0,38,42.06,22.00,25.00,0,a3
53.000,8,37,0,38,43.10,22.00,25.00,1,a3
53.000,33,1,0,2,64.36,25.00,28.00,1,a3
54.000,8,37,0,38,34.58,22.00,25.00,0,a3
54.000,13,37,0,38,27.64,18.00,21.00,0,a3
54.000,33,37,0,38,59.70,25.00,28.00,1,a3
55.000,8,37,0,38,39.17,22.00,25.00,0,a3
55.000,33,1,0,2,60.72,25.00,28.00,1,a3
56.000,8,2,0,3,34.99,22.00,25.00,0,a3
57.000,0,47,0,48,36.29,22.00,25.00,0,a3
57.000,8,2,0,3,35.81,22.00,25.00,0,a3
57.000,33,37,0,38,55.48,25.00,28.00,1,a3
58.000,0,2,0,3,41.07,22.00,25.00,1,a3
58.000,8,2,0,3,31.90,22.00,25.00,0,a3
59.000,8,2,0,3,39.15,22.00,25.00,0,a3
60.000,33,1,0,2,53.75,25.00,28.00,1,a3
61.000,0,47,0,48,32.31,22.00,25.00,0,a3
61.000,8,2,0,3,37.64,22.00,25.00,0,a3
62.000,8,2,0,3,37.39,22.00,25.00,0,a3
64.000,8,2,0,3,38.36,22.00,25.00,0,a3
64.000,33,37,0,38,61.24,25.00,28.00,1,a3
65.000,31,37,0,38,50.26,25.00,28.00,1,a3
65.000,33,1,0,2,63.40,25.00,28.00,1,a3
66.000,0,47,0,48,37.56,22.00,25.00,1,a3
66.000,8,37,0,38,40.18,22.00,25.00,0,a3
67.000,31,1,0,2,54.96,25.00,28.00,1,a3
68.000,0,2,0,3,38.50,22.00,25.00,0,a3
70.000,0,47,0,48,33.63,22.00,25.00,0,a3
71.000,0,47,0,48,41.83,22.00,25.00,0,a3
72.000,33,37,0,38,66.67,25.00,28.00,1,a3
72.000,36,47,0,48,32.15,22.00,25.00,0,a3
73.000,33,1,0,2,64.99,25.00,28.00,1,a3
74.000,0,2,0,3,41.79,22.00,25.00,0,a3
74.000,31,37,0,38,60.01,25.00,28.00,1,a3
74.000,36,47,0,48,39.10,22.00,25.00,0,a3
75.000,0,2,0,3,43.33,22.00,25.00,1,a3
76.000,33,37,0,38,68.39,28.00,31.00,1,a3
76.000,36,47,0,48,33.23,22.00,25.00,0,a3
77.000,36,47,0,48,29.64,22.00,25.00,1,a3
78.000,0,47,0,48,39.99,22.00,25.00,1,a3
78.000,1,36,0,37,36.05,22.00,25.00,0,a3
78.000,7,37,0,38,34.23,22.00,25.00,1,a3
79.000,0,47,0,48,38.60,22.00,25.00,0,a3
79.000,36,2,0,3,48.99,22.00,25.00,0,a3
80.000,0,47,0,48,35.58,22.00,25.00,0,a3
80.000,36,2,0,3,47.34,22.00,25.00,0,a3
81.000,0,2,0,3,43.97,22.00,25.00,0,a3
81.000,1,36,0,37,36.83,22.00,25.00,0,a3
81.000,33,1,0,2,61.68,28.00,31.00,1,a3
82.000,0,2,0,3,39.70,22.00,25.00,1,a3
82.000,36,47,0,48,31.19,22.00,25.00,0,a3
83.000,0,2,0,3,39.62,22.00,25.00,0,a3
83.000,0,13,0,14,35.20,18.00,21.00,0,a3
84.000,0,2,0,3,36.96,22.00,25.00,0,a3
85.000,31,1,0,2,60.09,28.00,31.00,1,a3
86.000,36,47,0,48,35.54,22.00,25.00,0,a3
87.000,1,36,0,37,33.61,22.00,25.00,1,a3
87.000,36,47,0,48,40.71,22.00,25.00,0,a3
88.000,0,47,0,48,40.10,22.00,25.00,0,a3
88.000,34,37,0,38,34.05,18.00,21.00,0,a3
88.000,36,47,0,48,29.54,22.00,25.00,0,a3
89.000,33,37,0,38,70.71,28.00,31.00,1,a3
91.000,0,47,0,48,40.81,22.00,25.00,0,a3
91.000,17,1,0,2,37.89,22.00,25.00,0,a3
91.000,36,47,0,48,35.30,22.00,25.00,0,a3
93.000,1,36,0,37,37.64,22.00,25.00,0,a3
94.000,0,47,0,48,43.47,22.00,25.00,0,a3
96.000,0,47,0,48,41.96,22.00,25.00,0,a3
96.000,2,47,0,48,36.71,18.00,21.00,0,a3
97.000,0,47,0,48,42.71,22.00,25.00,1,a3
97.000,34,37,0,38,34.44,22.00,25.00,0,a3
98.000,0,2,0,3,40.34,22.00,25.00,0,a3
99.000,0,2,0,3,42.87,22.00,25.00,0,a3
99.000,17,1,0,2,39.57,22.00,25.00,0,a3
99.000,36,47,0,48,35.90,22.00,25.00,0,a3
100.000,0,2,0,3,37.65,22.00,25.00,0,a3
100.000,36,47,0,48,42.82,22.00,25.00,0,a3
101.000,0,2,0,3,47.36,22.00,25.00,0,a3
101.000,36,47,0,48,42.40,22.00,25.00,0,a3
102.000,0,2,0,3,41.30,22.00,25.00,0,a3
102.000,16,1,0,2,47.52,25.00,28.00,1,a3
103.000,0,2,0,3,34.66,22.00,25.00,0,a3
103.000,27,37,0,38,35.26,18.00,21.00,0,a3
103.000,34,37,0,38,37.75,22.00,25.00,0,a3
104.000,0,2,0,3,41.45,22.00,25.00,0,a3
104.000,34,1,0,2,35.26,22.00,25.00,0,a3
104.000,36,47,0,48,37.34,22.00,25.00,0,a3
105.000,0,2,0,3,41.40,22.00,25.00,0,a3
105.000,16,37,0,38,48.09,25.00,28.00,1,a3
105.000,33,1,0,2,71.19,28.00,31.00,1,a3
105.000,36,47,0,48,41.05,22.00,25.00,0,a3
105.000,44,37,0,38,36.78,18.00,21.00,0,a3
106.000,0,2,0,3,41.28,22.00,25.00,0,a3
106.000,34,37,0,38,38.54,22.00,25.00,1,a3
107.000,16,1,0,2,47.58,25.00,28.00,1,a3
108.000,34,1,0,2,35.75,22.00,25.00,0,a3
109.000,0,47,0,48,39.68,22.00,25.00,1,a3
109.000,16,37,0,38,50.32,25.00,28.00,0,a3
109.000,34,1,0,2,36.45,22.00,25.00,0,a3
110.000,0,47,0,48,39.57,22.00,25.00,0,a3
111.000,28,36,0,37,34.38,22.00,25.00,0,a3
111.000,36,47,0,48,43.15,22.00,25.00,0,a3
112.000,0,47,0,48,42.41,22.00,25.00,1,a3
112.000,36,2,0,3,38.79,22.00,25.00,0,a3
113.000,17,1,0,2,36.09,22.00,25.00,1,a3
113.000,21,36,0,37,34.42,18.00,21.00,0,a3
113.000,28,36,0,37,37.89,22.00,25.00,0,a3
113.000,36,2,0,3,36.64,22.00,25.00,0,a3
114.000,0,2,0,3,38.47,22.00,25.00,0,a3
114.000,36,2,0,3,35.42,22.00,25.00,0,a3
115.000,0,2,0,3,38.94,22.00,25.00,0,a3
115.000,1,36,0,37,37.73,22.00,25.00,1,a3
116.000,1,2,0,3,47.28,25.00,28.00,1,a3
116.000,17,1,0,2,43.61,22.00,25.00,0,a3
116.000,21,36,0,37,33.84,22.00,25.00,0,a3
116.000,36,2,0,3,36.58,22.00,25.00,0,a3
117.000,7,37,0,38,49.53,25.00,28.00,1,a3
117.000,13,1,0,2,37.09,22.00,25.00,0,a3
117.000,28,36,0,37,44.03,22.00,25.00,0,a3
118.000,1,2,0,3,44.65,25.00,28.00,1,a3
118.000,27,37,0,38,33.97,22.00,25.00,0,a3
119.000,7,37,0,38,45.29,25.00,28.00,1,a3
119.000,13,1,0,2,37.09,22.00,25.00,0,a3
119.000,17,1,0,2,38.18,22.00,25.00,0,a3
119.000,27,37,0,38,33.48,22.00,25.00,0,a3
120.000,17,1,0,2,37.04,22.00,25.00,0,a3
120.000,36,2,0,3,38.47,22.00,25.00,0,a3
121.000,2,47,0,48,34.77,22.00,25.00,0,a3
121.000,7,37,0,38,48.81,25.00,28.00,1,a3
121.000,27,37,0,38,36.95,22.00,25.00,0,a3
121.000,36,2,0,3,44.54,22.00,25.00,0,a3
122.000,0,2,0,3,39.75,22.00,25.00,0,a3
122.000,2,47,0,48,36.57,22.00,25.00,0,a3
122.000,17,1,0,2,42.72,22.00,25.00,0,a3
122.000,26,1,0,2,40.53,22.00,25.00,0,a3
122.000,36,2,0,3,41.70,22.00,25.00,0,a3
123.000,0,2,0,3,33.36,22.00,25.00,0,a3
123.000,1,36,0,37,49.04,25.00,28.00,1,a3
123.000,2,47,0,48,33.33,22.00,25.00,0,a3
123.000,16,37,0,38,42.87,25.00,28.00,1,a3
123.000,17,37,0,38,42.86,22.00,25.00,0,a3
123.000,28,36,0,37,37.67,22.00,25.00,0,a3
123.000,33,37,0,38,82.58,30.00,33.00,1,a3
123.000,36,2,0,3,37.92,22.00,25.00,0,a3
124.000,2,47,0,48,36.94,22.00,25.00,0,a3
124.000,11,1,0,2,40.78,22.00,25.00,0,a3
124.000,16,1,0,2,57.63,25.00,28.00,1,a3
124.000,17,37,0,38,44.44,22.00,25.00,1,a3
124.000,36,2,0,3,40.04,22.00,25.00,0,a3
125.000,17,1,0,2,41.51,22.00,25.00,0,a3
125.000,28,36,0,37,48.76,22.00,25.00,0,a3
125.000,36,2,0,3,37.38,22.00,25.00,1,a3
126.000,2,47,0,48,39.23,22.00,25.00,0,a3
126.000,27,37,0,38,36.50,22.00,25.00,0,a3
126.000,28,36,0,37,40.35,22.00,25.00,0,a3
127.000,16,37,0,38,48.06,25.00,28.00,1,a3
127.000,21,36,0,37,35.84,22.00,25.00,0,a3
127.000,28,2,0,3,41.70,22.00,25.00,1,a3
128.000,2,47,0,48,36.19,22.00,25.00,0,a3
128.000,7,1,0,2,53.96,25.00,28.00,1,a3
128.000,17,1,0,2,41.28,22.00,25.00,0,a3
128.000,21,36,0,37,37.56,22.00,25.00,0,a3
128.000,28,36,0,37,45.70,22.00,25.00,0,a3
129.000,21,36,0,37,36.33,22.00,25.00,1,a3
129.000,27,37,0,38,37.25,22.00,25.00,0,a3
130.000,21,2,0,3,45.23,22.00,25.00,1,a3
130.000,27,37,0,38,39.34,22.00,25.00,0,a3
130.000,28,36,0,37,41.49,22.00,25.00,1,a3
130.000,36,2,0,3,37.72,22.00,25.00,0,a3
131.000,0,2,0,3,38.15,22.00,25.00,0,a3
131.000,21,2,0,3,37.12,22.00,25.00,1,a3
131.000,27,37,0,38,35.96,22.00,25.00,0,a3
132.000,2,2,0,3,38.21,22.00,25.00,0,a3
132.000,17,1,0,2,43.98,22.00,25.00,0,a3
132.000,27,37,0,38,37.35,22.00,25.00,0,a3
133.000,36,2,0,3,42.83,22.00,25.00,0,a3
134.000,11,1,0,2,32.12,22.00,25.00,0,a3
134.000,17,1,0,2,40.12,22.00,25.00,0,a3
134.000,28,2,0,3,38.08,22.00,25.00,0,a3
134.000,36,2,0,3,39.56,22.00,25.00,1,a3
135.000,11,37,0,38,48.70,25.00,28.00,1,a3
135.000,17,1,0,2,43.27,22.00,25.00,0,a3
135.000,27,37,0,38,40.36,22.00,25.00,1,a3
135.000,28,2,0,3,39.31,22.00,25.00,1,a3
136.000,7,37,0,38,50.41,25.00,28.00,1,a3
136.000,17,1,0,2,43.57,22.00,25.00,0,a3
136.000,21,36,0,37,43.94,22.00,25.00,1,a3
136.000,27,37,0,38,40.49,22.00,25.00,1,a3
136.000,28,36,0,37,43.50,22.00,25.00,0,a3
137.000,21,36,0,37,39.18,22.00,25.00,0,a3
137.000,28,36,0,37,46.18,22.00,25.00,0,a3
137.000,36,2,0,3,42.06,22.00,25.00,0,a3
138.000,4,47,0,48,30.90,22.00,25.00,0,a3
138.000,17,1,0,2,43.79,22.00,25.00,0,a3
138.000,21,36,0,37,36.76,22.00,25.00,0,a3
138.000,27,1,0,2,33.10,22.00,25.00,0,a3
138.000,28,36,0,37,39.84,22.00,25.00,0,a3
138.000,36,2,0,3,37.89,22.00,25.00,0,a3
139.000,4,2,0,3,39.28,22.00,25.00,0,a3
140.000,2,2,0,3,33.10,22.00,25.00,0,a3
140.000,17,1,0,2,41.37,22.00,25.00,0,a3
140.000,21,36,0,37,38.98,22.00,25.00,0,a3
140.000,27,37,0,38,42.94,22.00,25.00,0,a3
140.000,28,36,0,37,49.28,22.00,25.00,1,a3
141.000,4,2,0,3,35.09,22.00,25.00,0,a3
141.000,17,1,0,2,49.34,22.00,25.00,1,a3
141.000,21,2,0,3,38.06,22.00,25.00,0,a3
141.000,27,1,0,2,38.85,22.00,25.00,0,a3
141.000,28,2,0,3,41.30,22.00,25.00,0,a3
142.000,0,2,0,3,36.82,22.00,25.00,0,a3
142.000,4,2,0,3,34.76,22.00,25.00,0,a3
142.000,17,37,0,38,43.23,22.00,25.00,0,a3
142.000,21,36,0,37,39.69,22.00,25.00,0,a3
142.000,27,1,0,2,32.43,22.00,25.00,0,a3
142.000,28,36,0,37,42.47,22.00,25.00,0,a3
142.000,36,2,0,3,34.43,22.00,25.00,0,a3
143.000,4,2,0,3,31.31,22.00,25.00,0,a3
143.000,17,37,0,38,37.92,22.00,25.00,0,a3
143.000,21,36,0,37,42.62,22.00,25.00,0,a3
143.000,28,36,0,37,43.75,22.00,25.00,0,a3
143.000,36,2,0,3,38.14,22.00,25.00,0,a3
144.000,1,2,0,3,45.55,22.00,25.00,1,a3
144.000,17,1,0,2,42.35,22.00,25.00,1,a3
144.000,21,36,0,37,37.24,22.00,25.00,0,a3
144.000,27,1,0,2,31.53,22.00,25.00,1,a3
145.000,4,47,0,48,35.30,22.00,25.00,0,a3
145.000,21,36,0,37,34.88,22.00,25.00,0,a3
145.000,28,36,0,37,44.80,22.00,25.00,0,a3
146.000,1,36,0,37,48.19,25.00,28.00,0,a3
146.000,4,47,0,48,34.36,22.00,25.00,1,a3
146.000,28,36,0,37,45.69,22.00,25.00,0,a3
147.000,4,47,0,48,35.09,22.00,25.00,0,a3
147.000,28,36,0,37,46.89,22.00,25.00,1,a3
147.000,36,2,0,3,35.89,22.00,25.00,1,a3
148.000,4,47,0,48,37.78,22.00,25.00,0,a3
148.000,36,47,0,48,45.49,22.00,25.00,0,a3
148.000,44,1,0,2,29.17,18.00,21.00,0,a3
149.000,39,36,0,37,37.84,18.00,21.00,0,a3
150.000,21,36,0,37,37.22,22.00,25.00,0,a3
150.000,28,2,0,3,40.78,22.00,25.00,1,a3
150.000,36,47,0,48,45.70,22.00,25.00,0,a3
151.000,11,1,0,2,33.70,22.00,25.00,0,a3
151.000,28,2,0,3,37.12,22.00,25.00,0,a3
151.000,39,2,0,3,36.75,22.00,25.00,0,a3
152.000,4,47,0,48,36.66,22.00,25.00,0,a3
152.000,7,1,0,2,47.13,22.00,25.00,0,a3
152.000,21,36,0,37,41.33,22.00,25.00,0,a3
152.000,36,47,0,48,45.26,22.00,25.00,1,a3
152.000,39,36,0,37,31.07,22.00,25.00,0,a3
153.000,4,47,0,48,33.49,22.00,25.00,0,a3
153.000,21,36,0,37,31.17,22.00,25.00,0,a3
153.000,36,2,0,3,39.53,22.00,25.00,0,a3
154.000,4,47,0,48,34.92,22.00,25.00,0,a3
155.000,21,36,0,37,40.44,22.00,25.00,0,a3
155.000,28,2,0,3,36.58,22.00,25.00,0,a3
156.000,21,36,0,37,36.31,22.00,25.00,0,a3
156.000,24,1,0,2,38.77,18.00,21.00,0,a3
156.000,28,2,0,3,40.28,22.00,25.00,0,a3
157.000,4,47,0,48,34.46,22.00,25.00,0,a3
157.000,21,36,0,37,42.50,22.00,25.00,0,a3
157.000,39,2,0,3,36.48,22.00,25.00,0,a3
158.000,4,2,0,3,31.41,22.00,25.00,0,a3
158.000,17,37,0,38,35.33,22.00,25.00,0,a3
158.000,21,36,0,37,41.89,22.00,25.00,1,a3
158.000,36,2,0,3,34.63,22.00,25.00,0,a3
159.000,4,2,0,3,33.27,22.00,25.00,0,a3
159.000,21,36,0,37,39.49,22.00,25.00,1,a3
159.000,26,1,0,2,44.21,22.00,25.00,1,a3
159.000,39,36,0,37,32.74,22.00,25.00,0,a3
160.000,4,47,0,48,33.95,22.00,25.00,0,a3
161.000,39,2,0,3,33.03,22.00,25.00,0,a3
163.000,21,2,0,3,38.18,22.00,25.00,0,a3
164.000,46,1,0,2,27.70,18.00,21.00,0,a3
165.000,11,1,0,2,33.12,22.00,25.00,0,a3
165.000,36,2,0,3,35.67,22.00,25.00,0,a3
167.000,11,1,0,2,38.63,22.00,25.00,0,a3
167.000,26,1,0,2,39.83,25.00,28.00,1,a3
168.000,21,2,0,3,37.37,22.00,25.00,1,a3
168.000,26,37,0,38,50.57,25.00,28.00,1,a3
169.000,26,1,0,2,52.00,25.00,28.00,1,a3
169.000,32,1,0,2,32.06,22.00,25.00,0,a3
170.000,26,37,0,38,48.88,25.00,28.00,1,a3
171.000,21,2,0,3,31.62,22.00,25.00,0,a3
171.000,26,37,0,38,50.38,25.00,28.00,1,a3
173.000,11,1,0,2,34.46,22.00,25.00,0,a3
174.000,11,1,0,2,33.27,22.00,25.00,0,a3
175.000,26,37,0,38,46.70,25.00,28.00,1,a3
177.000,11,1,0,2,35.30,22.00,25.00,0,a3
177.000,20,1,0,2,25.67,22.00,25.00,0,a3
177.000,26,37,0,38,50.64,25.00,28.00,1,a3
178.000,8,1,0,2,37.81,22.00,25.00,0,a3
178.000,11,1,0,2,32.52,22.00,25.00,0,a3
178.000,20,1,0,2,33.05,22.00,25.00,0,a3
178.000,25,1,0,2,55.98,25.00,28.00,1,a3
179.000,11,1,0,2,34.85,22.00,25.00,0,a3
180.000,11,1,0,2,41.01,22.00,25.00,0,a3
180.000,20,1,0,2,36.30,22.00,25.00,0,a3
180.000,38,1,0,2,35.86,18.00,21.00,0,a3
181.000,11,1,0,2,37.39,22.00,25.00,1,a3
181.000,20,37,0,38,41.06,22.00,25.00,1,a3
182.000,11,1,0,2,38.40,22.00,25.00,0,a3
182.000,20,1,0,2,38.56,22.00,25.00,0,a3
183.000,20,1,0,2,39.46,22.00,25.00,0,a3
183.000,25,37,0,38,63.40,25.00,28.00,1,a3
184.000,11,1,0,2,30.90,22.00,25.00,0,a3
186.000,3,37,0,38,28.92,22.00,25.00,0,a3
186.000,20,1,0,2,34.94,22.00,25.00,0,a3
186.000,26,1,0,2,49.61,25.00,28.00,1,a3
187.000,11,1,0,2,37.50,22.00,25.00,0,a3
187.000,20,1,0,2,33.38,22.00,25.00,0,a3
188.000,3,37,0,38,32.42,22.00,25.00,0,a3
188.000,11,1,0,2,35.91,22.00,25.00,0,a3
188.000,25,1,0,2,57.48,25.00,28.00,1,a3
189.000,20,37,0,38,41.41,22.00,25.00,0,a3
190.000,20,37,0,38,40.20,22.00,25.00,0,a3
191.000,11,1,0,2,36.24,22.00,25.00,0,a3
191.000,20,37,0,38,36.79,22.00,25.00,0,a3
191.000,25,37,0,38,59.97,25.00,28.00,1,a3
